X;Y;OBJECTID;RELI;B14BTOT;Count_;IPTA
562000;182900;295556;56201829;9;1;0
540400;165500;197243;54041655;3;1;0
541800;150700;328327;54181507;50;2;0
548800;148000;230015;54881480;12;2;0
567100;121500;262787;56711215;7;0;0
549300;157800;197247;54931578;6;0;0
539400;152000;295561;53941520;44;4;0
521500;147200;230019;52151472;9;0;0
505400;141300;197248;50541413;14;1;0
509800;152600;295562;50981526;9;0;0
557300;137600;295564;55731376;3;0;0
545000;189000;230026;54501890;23;2;0
549000;161700;295569;54901617;6;0;0
515000;145900;328344;51501459;131;5;0
540400;181000;328350;54041810;279;1;0
529800;164800;328352;52981648;6;0;0
537400;187400;328353;53741874;55;1;0
550000;160000;262812;55001600;5;1;0
504000;138900;328355;50401389;31;1;0
547500;158200;328356;54751582;13;1;0
540600;180800;262818;54061808;20;0;0
540500;152800;262823;54051528;39;2;0
515300;146800;328368;51531468;9;1;0
575800;147300;164513;57581473;3;0;0
508000;137800;295597;50801378;13;4;0
571400;135700;295603;57141357;3;0;0
542500;180100;197290;54251801;3;0;0
541400;152600;197296;54141526;48;4;0
517500;146800;328382;51751468;68;1;0
539800;151600;164528;53981516;71;4;0
539200;180600;197299;53921806;129;1;0
501900;133500;262842;50191335;13;1;0
506900;137600;262844;50691376;42;1;0
531500;155900;262846;53151559;94;0;0
552800;147400;197307;55281474;40;0;0
550300;157500;197308;55031575;3;0;0
529500;152700;197310;52951527;3;2;1
502400;136000;295624;50241360;3;0;0
567100;125200;230083;56711252;7;0;0
539000;152000;197318;53901520;89;3;0
563000;130300;262861;56301303;9;1;0
538700;158700;230090;53871587;18;0;0
504100;132400;197321;50411324;62;1;0
568100;122500;197323;56811225;20;4;0
557600;179100;295639;55761791;11;0;0
537200;152700;328411;53721527;4;6;2
567300;132900;230101;56731329;19;2;0
510900;151000;164559;51091510;5;0;0
543600;151600;197331;54361516;22;3;0
538500;156000;262881;53851560;46;0;0
502600;139400;295652;50261394;58;2;0
