"","OBJECTID","RELI","x_coor","y_coor","B14BTOT","Count_","IPTA"
"545",328101,50921501,509200,150100,9,0,0
"546",164247,51711732,517100,173200,3,0,0
"547",393,56901923,569000,192300,10,0,0
"548",229791,50561362,505600,136200,19,0,0
"549",328105,50951630,509500,163000,6,1,0.16667
"550",229792,50691484,506900,148400,3,0,0
"551",229793,52721525,527200,152500,7,0,0
"552",164253,52511489,525100,148900,3,1,0.33333
"553",295337,54951639,549500,163900,14,0,0
"554",402,57031465,570300,146500,10,1,0.1
"555",404,57001334,570000,133400,3,0,0
"556",328114,54191565,541900,156500,56,1,0.01786
"557",197030,50701470,507000,147000,9,0,0
"558",164260,55201535,552000,153500,7,0,0
"559",405,56971924,569700,192400,3,2,0.66667
"560",406,56991914,569900,191400,6,0,0
"561",407,56991246,569900,124600,3,2,0.66667
"562",262576,55331549,553300,154900,3,0,0
"563",164267,55791472,557900,147200,7,1,0.14286
"564",412,57041916,570400,191600,3,0,0
"565",229809,54161646,541600,164600,10,1,0.1
"566",328122,55461476,554600,147600,26,1,0.03846
"567",262581,51521459,515200,145900,26,2,0.07692
"568",413,57101994,571000,199400,23,0,0
"569",197040,51841614,518400,161400,36,1,0.02778
"570",415,57101289,571000,128900,4,0,0
"571",262585,53831675,538300,167500,21,0,0
"572",417,57111266,571100,126600,6,3,0.5
"573",418,57081986,570800,198600,5,1,0.2
"574",229816,57781475,577800,147500,8,0,0
"575",164277,53731628,537300,162800,8,1,0.125
"576",197049,54171508,541700,150800,11,1,0.09091
"577",164284,52771653,527700,165300,19,1,0.05263
"578",229830,53891654,538900,165400,3,1,0.33333
"579",164289,56001778,560000,177800,3,0,0
"580",164290,51431688,514300,168800,6,1,0.16667
"581",435,57251259,572500,125900,3,0,0
"582",295375,54921478,549200,147800,49,2,0.04082
"583",229833,53291616,532900,161600,15,2,0.13333
"584",262606,53111535,531100,153500,5,2,0.4
"585",262609,54831612,548300,161200,15,1,0.06667
"586",442,57311229,573100,122900,3,1,0.33333
"587",229842,57351379,573500,137900,3,1,0.33333
"588",229847,53401818,534000,181800,11,1,0.09091
"589",229848,52481544,524800,154400,3,0,0
"590",328163,54441955,544400,195500,3,0,0
"591",328164,52831595,528300,159500,7,0,0
"592",164310,53831517,538300,151700,110,3,0.02727
