"","X","Y","OBJECTID","RELI","B14BTOT","Count_","IPTA","WGSlong","WGSlat"
"27818",544500,150700,325085,54451507,20,1,0,6.71557320726356,46.5053056434408
"27819",531200,175400,259543,53121754,11,0,0,6.53862158475993,46.7262470395933
"27820",532500,155100,95688,53251551,15,0,0,6.5586042834461,46.5437818305793
"27821",532300,163400,95689,53231634,10,0,0,6.5547782172032,46.6184202010537
"27822",532200,184400,95690,53221844,24,3,0,6.55036941930273,46.8073032158186
"27823",533200,179800,95691,53321798,39,1,0,6.56414121017053,46.7660279159246
"27824",502800,131200,259547,50281312,23,0,0,6.17645899841742,46.3251599395411
"27825",508300,139500,292318,50831395,30,1,0,6.246229360093,46.4005880764083
"27826",533100,153500,95693,53311535,9,2,0,6.56665793044085,46.5294500121926
"27827",535200,155400,259549,53521554,16,0,0,6.59376068866686,46.5467472390667
"27828",533400,153800,95694,53341538,3,1,0,6.57052457299234,46.5321784421282
"27829",533600,156600,95695,53361566,3,2,1,6.57272858976791,46.5573844448409
"27830",518200,161400,161237,51821614,18,1,0,6.37107142808911,46.5988536270058
"27831",540500,152900,292322,54051529,14,2,0,6.6631805857049,46.5247515754187
"27832",534200,154300,95696,53421543,227,5,0,6.58088027249333,46.5367550929738
"27833",505200,141200,194011,50521412,32,1,0,6.20557824437529,46.4154478977989
"27834",534100,186100,95698,53411861,12,0,0,6.57501474590181,46.8227851686493
"27835",534100,157700,95699,53411577,3,0,0,6.57909133775924,46.5673284337578
"27836",534300,161700,95700,53431617,15,1,0,6.58112966623245,46.6033282685981
"27837",561200,191400,226785,56121914,15,1,0,6.92969770202175,46.8725903342634
"27838",535100,154300,95701,53511543,33,0,0,6.59261158582268,46.5368429675536
"27839",500700,137600,292328,50071376,73,0,0,6.14782769387518,46.3824169810327
"27840",535500,159400,95702,53551594,33,1,0,6.59711259532144,46.5827565015393
"27841",535100,154500,95703,53511545,14,2,0,6.59258347787498,46.5386419825222
"27842",535800,153500,95705,53581535,58,2,0,6.60184716756052,46.5297144075768
"27843",515400,154700,325102,51541547,5,2,0,6.33576254671139,46.5382406995954
"27844",559400,142400,226789,55941424,234,19,0,6.91041385979462,46.4317127658716
"27845",536200,154000,95706,53621540,214,3,0,6.60699135333405,46.5342501983456
"27846",536400,152100,95707,53641521,92,2,0,6.60985975581299,46.5171785421589
"27847",535900,170000,95708,53591700,3,0,0,6.6008545176551,46.6781423766612
"27848",537000,182400,95709,53701824,12,1,0,6.61352634684742,46.7897847690591
"27849",537000,181400,95710,53701814,3,0,0,6.61366402919642,46.780789845903
