x;y;object_id;reli;b14btot;count
6.507089;46.734091;285980;52881763;34;1
6.201656;46.416305;122125;50491413;36;1
6.382258;46.694319;285981;51921720;3;0
6.203018;46.413621;154898;50501410;32;1
6.204695;46.339866;122127;50501328;3;0
6.241289;46.624553;285982;50831644;3;0
6.902306;46.462261;253214;55881458;4;1
6.205898;46.458636;122131;50531460;10;1
6.208954;46.381297;122133;50541374;25;0
6.502937;46.520847;187675;52821526;52;2
6.606591;46.560336;285990;53621569;23;1
6.208036;46.421772;122136;50541419;3;0
6.161945;46.334894;253221;50171323;13;0
6.382332;46.490102;154908;51891493;3;0
6.203193;46.577363;318764;50531592;7;1
6.230166;46.479589;122138;50721483;7;0
6.51085;46.66755;220451;52901689;42;1
6.872348;46.713098;154910;55671737;20;0
6.23819;46.411299;122139;50771407;16;0
6.160626;46.335779;23827;50161324;39;0
6.234631;46.454446;122140;50751455;6;0
6.246937;46.427585;122141;50841425;31;0
6.246571;46.621909;122142;50871641;6;1
6.249243;46.441105;122143;50861440;42;1
6.165441;46.352027;23830;50201342;20;1
6.174156;46.368319;23832;50271360;3;0
6.267497;46.620327;122145;51031639;3;0
6.255945;46.611211;122146;50941629;3;0
6.191748;46.394604;23834;50411389;50;1
6.260394;46.407034;122147;50941402;3;0
6.510934;46.586585;154919;52891599;3;1
6.261421;46.41964;122148;50951416;158;0
6.335341;46.558929;286004;51541570;20;1
6.261909;46.397153;122149;50951391;3;0
6.52618;46.610998;154920;53011626;14;1
6.186804;46.327074;23837;50361314;25;1
6.277009;46.4207;122150;51071417;22;1
6.88121;46.488247;318777;55721487;3;0
6.187603;46.574494;23839;50411589;6;0
6.278618;46.406322;122152;51081401;4;0
6.32696;46.458986;122153;51461459;19;0
6.333321;46.53012;122154;51521538;3;0
6.19468;46.436921;253239;50441436;10;0
6.298137;46.467696;122155;51241469;3;0
6.198407;46.3308;23843;50451318;18;0
6.288772;46.418121;122156;51161414;22;0
6.901947;46.366903;286012;55871352;3;1
6.781599;46.539891;253241;54961545;3;0
6.31811;46.509279;122157;51401515;58;1
6.199583;46.336211;23844;50461324;9;0
6.192883;46.458494;23845;50431460;6;0
6.330644;46.469818;154929;51491471;52;0
6.345037;46.466358;122158;51601467;93;0
6.377191;46.553029;122159;51861563;9;1
6.350334;46.461911;122160;51641462;3;0
6.204953;46.385752;23848;50511379;25;1
6.377525;46.602513;122161;51871618;27;1
6.200984;46.331728;23849;50471319;22;0
6.334477;46.537329;122162;51531546;32;2
6.412472;46.480482;122163;52121482;47;1
6.402971;46.636933;122164;52071656;3;1
6.206844;46.359682;23851;50521350;50;2
6.410056;46.470564;122165;52101471;8;0
6.759467;46.641415;220479;54801658;23;1
6.670617;46.55179;187708;54111559;3;2
6.381064;46.488291;122166;51881491;3;0
6.204155;46.42083;23853;50511418;3;0
6.390833;46.724086;122167;51991753;18;0
6.210721;46.360624;23854;50551351;15;0
6.43561;46.496882;122168;52301500;3;0
6.205822;46.576492;23855;50551591;3;0
6.731405;46.589967;286024;54581601;6;0
6.446409;46.476286;122169;52381477;42;0
6.206429;46.43525;23856;50531434;11;1
6.426788;46.550782;122170;52241560;35;2
6.726873;46.537762;187713;54541543;15;0
6.428282;46.470728;122171;52241471;5;2
6.214173;46.380454;23858;50581373;108;1
6.213607;46.578375;23859;50611593;3;0
6.42215;46.589425;122172;52211603;4;0
6.597378;46.565666;154943;53551575;62;0
6.623855;46.53977;318799;53751546;105;1
6.23687;46.412185;23860;50761408;20;0
7.013926;46.338591;154944;56731320;14;0
6.44288;46.526634;122173;52361533;3;1
6.236716;46.477859;23861;50771481;10;1
6.461366;46.73011;122174;52531759;3;0
6.452854;46.47994;122175;52431481;26;1
6.165356;46.355625;220489;50201346;48;0
6.455872;46.744456;122176;52491775;6;0
6.614795;46.792493;318802;53711827;16;2
6.317812;46.649622;253260;51421671;10;1
6.231548;46.476005;23863;50731479;16;0
6.475812;46.507126;253261;52611511;12;4
6.460699;46.478209;122177;52491479;20;1
6.23541;46.419367;23864;50751416;4;0
6.924485;46.868969;154949;56081910;26;1
6.45505;46.50245;122178;52451506;4;0
6.455376;46.48446;122179;52451486;40;3
6.232948;46.413043;23866;50731409;6;0
6.558982;46.841554;286034;53291882;6;0
6.455112;46.570823;122180;52461582;6;0
6.250938;46.423129;23868;50871420;17;0
6.495228;46.514486;122181;52761519;63;2
6.934267;46.385043;318808;56121372;4;1
6.476381;46.695152;122182;52641720;17;2
6.246934;46.486963;23869;50851491;7;0
6.195893;46.327174;286038;50431314;17;0
6.483554;46.659228;122183;52691680;24;1
6.213707;46.45872;220496;50591460;24;2
6.24431;46.487835;23870;50831492;24;0
6.566861;46.678787;187725;53331701;22;0
6.246407;46.392493;23871;50831386;10;0
