X,Y,X_1,Y_1,NUMERO,NOM,MOYEN_TRAN,ALTITUDE,NUMERO_COM,NOM_COMMUN,buff100_SU,buff250_SU,buff500_SU,buff1000_S
6.56816,46.710085,6.5681600000,46.7100850000,8501112,Chavornay,Bus_CheminFer,447,5749,Chavornay,75,658,2185,3675
6.986221,46.315302,6.9862210000,46.3153020000,8517484,Aigle-Parc Aventure,CheminFer,488,5401,Aigle,,13,107,366
7.119544,46.354456,7.1195440000,46.3544560000,8593775,Les Nicolets,CheminFer,1097,5411,Ormont-Dessus,7,10,53,217
6.543972,46.529805,6.5439720000,46.5298050000,8501141,Lausanne-Triage A/B,CheminFer,396,5632,Denges,,84,710,2934
6.529709,46.525319,6.5297090000,46.5253190000,8501150,Lausanne-Triage F,CheminFer,392,5638,Lonay,,16,253,4500
6.551536,46.649702,6.5515360000,46.6497020000,8518421,Eclépens sud,CheminFer,452,5482,Eclépens,,,3,112
6.205222,46.428849,6.2052220000,46.4288490000,8501067,Givrins,CheminFer,554,5720,Givrins,20,157,617,1001
6.646949,46.780135,6.6469490000,46.7801350000,8515370,Yverdon Est (bif),CheminFer,436,5938,Yverdon-les-Bains,,528,2136,10099
6.237737,46.386509,6.2377370000,46.3865090000,8501187,Nyon Dépét,CheminFer,408,5724,Nyon,,587,4888,13833
6.784583,46.474202,6.7845830000,46.4742020000,8501126,Rivaz,Bus_CheminFer,377,5609,Rivaz,6,85,172,1713
6.60743,46.539651,6.6074300000,46.5396510000,8501163,Prilly-Chasseur,CheminFer,525,5589,Prilly,211,1374,4673,18135
6.603167,46.56247,6.6031670000,46.5624700000,8501166,Romanel-sur-Lausanne,CheminFer,591,5592,Romanel-sur-Lausanne,212,614,2640,3783
6.859523,46.455448,6.8595230000,46.4554480000,8501201,La Tour-de-Peilz,Bus_CheminFer,390,5889,La Tour-de-Peilz,273,1414,6557,13999
6.837873,46.542757,6.8378730000,46.5427570000,8504014,Palézieux,CheminFer,669,5805,Oron,82,202,721,847
6.532573,46.720307,6.5325730000,46.7203070000,8530262,St-Eloi,CheminFer,470,5757,Orbe,87,601,2314,4045
6.947951,46.434373,6.9479510000,46.4343730000,8501357,Haut-de-Caux,CheminFerCremaillere,1140,5886,Montreux,10,43,75,1071
6.722641,46.496948,6.7226410000,46.4969480000,8504011,Grandvaux,CheminFer,565,5613,Bourg-en-Lavaux,86,318,754,2975
6.993098,46.296825,6.9930980000,46.2968250000,8501461,Ollon,CheminFer,468,5409,Ollon,111,570,1471,2434
6.555575,46.544883,6.5555750000,46.5448830000,8515313,Bussigny-Scheuchzer (bif),CheminFer,406,5624,Bussigny,6,903,2635,7355
6.962689,46.437764,6.9626890000,46.4377640000,8501366,Paccot,CheminFerCremaillere,1430,5886,Montreux,,3,3,26
7.001254,46.250835,7.0012540000,46.2508350000,8519339,Bex place de la gare,CheminFer,411,5402,Bex,37,362,1593,3668
6.837649,46.541757,6.8376490000,46.5417570000,8519342,Palézieux [voie 11-12],CheminFer,668,5805,Oron,59,293,799,847
6.76568,46.493838,6.7656800000,46.4938380000,8504012,Puidoux-Chexbres,CheminFer,618,5607,Puidoux,41,367,1073,1636
6.493705,46.511378,6.4937050000,46.5113780000,8519319,Morges [voie 5-6],CheminFer,382,5642,Morges,30,1333,6551,12193
6.578933,46.537037,6.5789330000,46.5370370000,8501118,Renens VD,CheminFer,416,5591,Renens (VD),425,2905,10025,24485
6.558786,46.542236,6.5587860000,46.5422360000,8501147,Archy (bif),CheminFer,404,5624,Bussigny,,18,385,6313
6.244978,46.396014,6.2449780000,46.3960140000,8501040,Prangins,CheminFer,417,5725,Prangins,61,607,2184,6066
6.52672,46.524045,6.5267200000,46.5240450000,8518429,Lausanne-Triage K,CheminFer,392,5586,Lausanne,,22,582,5199
6.218704,46.597692,6.2187040000,46.5976920000,8501158,Chez-le-Maître,CheminFer,1017,5872,Le Chenit,25,212,403,1117
6.548622,46.656102,6.5486220000,46.6561020000,8501109,Eclépens Ciment (embr),CheminFer,451,5482,Eclépens,,75,92,115
6.640878,46.781523,6.6408780000,46.7815230000,8519346,Yverdon-les-Bains [voie B3-B4],CheminFer,435,5938,Yverdon-les-Bains,12,37,2542,13849
6.975792,46.302072,6.9757920000,46.3020720000,8501459,St-Triphon-Village,CheminFer,405,5409,Ollon,,11,54,229
6.897931,46.468825,6.8979310000,46.4688250000,8501282,Prélaz-sur-Blonay,CheminFer,670,5881,Blonay,71,328,1545,4709
6.233651,46.38257,6.2336510000,46.3825700000,8515645,Nyon (bif),CheminFer,405,5724,Nyon,333,1514,4876,13482
6.402356,46.61046,6.4023560000,46.6104600000,8501089,Villars-Bozon,CheminFer,662,5486,L'Isle,,,20,333
6.665755,46.654851,6.6657550000,46.6548510000,8501175,Sugnens,CheminFer,648,5540,Montilliez,,3,224,368
